time_points,initial_state,qfi_values,m_0_values,m_1_values,N,h,J,tau
50,PHYS,0.03319173081841628,0.45568091770526886,0.00016308427196074087,40,0.4,1.0,1.0
51,PHYS,0.03363241709130435,0.45568091770525554,0.0001630842719609111,40,0.4,1.0,1.0
52,PHYS,0.03386816748383302,0.4556809177052406,0.00016308427196360281,40,0.4,1.0,1.0
53,PHYS,0.033858682544259416,0.4556809177052285,0.00016308427196481956,40,0.4,1.0,1.0
54,PHYS,0.03387564510417531,0.4556809177052131,0.00016308427196677077,40,0.4,1.0,1.0
55,PHYS,0.03401734261788526,0.45568091770519936,0.00016308427196509435,40,0.4,1.0,1.0
56,PHYS,0.03438111599765931,0.4556809177051844,0.000163084271970022,40,0.4,1.0,1.0
57,PHYS,0.03499697337097082,0.45568091770517183,0.00016308427196957414,40,0.4,1.0,1.0
58,PHYS,0.03571696129977875,0.4556809177051572,0.00016308427197290267,40,0.4,1.0,1.0
59,PHYS,0.03613348810220056,0.4556809177051447,0.00016308427197561924,40,0.4,1.0,1.0
60,PHYS,0.03624053115943623,0.4556809177051286,0.00016308427197631593,40,0.4,1.0,1.0
61,PHYS,0.03622959451051402,0.45568091770511704,0.00016308427197756354,40,0.4,1.0,1.0
62,PHYS,0.03615949784167119,0.455680917705101,0.0001630842719788946,40,0.4,1.0,1.0
63,PHYS,0.0358997038205684,0.4556809177050874,0.00016308427197910205,40,0.4,1.0,1.0
64,PHYS,0.035740698270728934,0.4556809177050728,0.00016308427198243812,40,0.4,1.0,1.0
65,PHYS,0.0358269823809692,0.45568091770506225,0.00016308427198485076,40,0.4,1.0,1.0
66,PHYS,0.03599602817353681,0.45568091770504493,0.0001630842719851394,40,0.4,1.0,1.0
67,PHYS,0.03627180119884111,0.45568091770503083,0.00016308427198498537,40,0.4,1.0,1.0
68,PHYS,0.036755027648137865,0.4556809177050171,0.00016308427198878883,40,0.4,1.0,1.0
69,PHYS,0.037188521025822596,0.45568091770500435,0.0001630842719894686,40,0.4,1.0,1.0
70,PHYS,0.037517883591964625,0.4556809177049887,0.00016308427199150655,40,0.4,1.0,1.0
